time_period,time_identifier,geographic_level,country_code,country_name,subject_name,subject_sector_area,characteristic_type,characteristic_value,characteristic_gender,astar_grade_achieved,a_grade_achieved,b_grade_achieved,c_grade_achieved,d_grade_achieved,e_grade_achieved,u_grade_achieved,total_students
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,2259,5146,4919,3822,1870,670,60,18746
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,2423,4106,3837,3189,1704,726,75,16062
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Non-Disadvantaged,Female,215,342,321,229,114,36,3,1260
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Non-Disadvantaged,Male,986,1710,1982,1837,929,277,30,7751
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Non-Disadvantaged,Female,277,556,643,499,167,50,3,2195
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Non-Disadvantaged,Male,357,832,1239,1256,595,182,7,4468
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Female,474,1185,1624,923,187,22,2,4417
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Male,128,336,609,445,137,23,1,1680
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Non-Disadvantaged,Female,783,1665,1687,1091,368,76,7,5678
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Non-Disadvantaged,Male,1402,3367,4129,3331,1176,303,21,13729
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Female,616,1153,961,579,187,35,5,3536
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Male,255,435,345,229,87,14,1,1367
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,967,795,484,196,63,26,6,2537
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,2628,1970,1107,593,214,74,8,6594
201920,Academic year,National,E92000001,England,General studies,Preparation for Life and Work,Disadvantage,Non-Disadvantaged,Female,0,0,0,0,1,0,4,5
201920,Academic year,National,E92000001,England,General studies,Preparation for Life and Work,Disadvantage,Non-Disadvantaged,Male,0,0,1,0,1,0,2,4
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Non-Disadvantaged,Female,1468,2981,3155,2187,703,125,11,10630
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Non-Disadvantaged,Male,773,1999,3150,3132,1316,310,24,10705
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Female,206,409,315,172,38,9,0,1149
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Male,148,239,158,101,52,11,0,709
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Non-Disadvantaged,Female,691,1289,1419,1052,377,100,15,4943
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Non-Disadvantaged,Male,603,1250,1557,1328,501,133,13,5385
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Non-Disadvantaged,Female,2156,4524,5452,3725,1112,205,15,17189
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Non-Disadvantaged,Male,1108,2731,3973,3609,1413,306,18,13158
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Female,562,1133,1697,1438,588,205,23,5646
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Non-Disadvantaged,Male,203,469,800,901,428,178,23,3003
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Female,400,1391,2335,1680,380,45,1,6238
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Male,142,596,1546,1761,593,95,8,4746
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Female,178,446,537,356,101,25,1,1644
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Male,221,467,522,375,148,38,1,1772
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Female,213,581,814,561,120,19,1,2313
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Non-Disadvantaged,Male,111,367,788,750,224,45,5,2292
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,74,138,203,164,92,21,5,697
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,136,244,272,280,182,50,5,1169
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Non-Disadvantaged,Female,101,235,298,236,126,45,6,1047
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Non-Disadvantaged,Male,89,134,204,122,75,28,3,655
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Non-Disadvantaged,Female,619,1149,1263,937,319,67,3,4357
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Non-Disadvantaged,Male,282,761,1341,1400,645,214,9,4652
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,893,1323,1279,1013,536,186,22,5252
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,2972,4377,4528,3860,2422,1054,94,19308
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,3554,7663,10367,8621,3585,989,101,34881
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,549,1601,3011,3790,2222,754,61,11988
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Non-Disadvantaged,Female,739,1792,2234,1715,604,146,9,7240
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Non-Disadvantaged,Male,246,572,735,682,280,90,10,2616
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Non-Disadvantaged,Female,2126,4583,6875,5599,1862,439,32,21519
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Non-Disadvantaged,Male,329,888,1819,2053,925,261,22,6297
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Female,705,1128,1017,602,176,44,1,3673
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Male,276,494,412,262,80,20,2,1547
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Female,226,441,439,254,61,17,0,1438
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Male,92,187,279,208,69,21,1,857
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Non-Disadvantaged,Female,3664,6974,10653,8456,2588,371,14,32724
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Non-Disadvantaged,Male,983,1756,3157,3053,1217,223,14,10404
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Non-Disadvantaged,Female,4808,6445,4987,3811,1968,817,79,22915
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Non-Disadvantaged,Male,8344,8745,7293,6481,3776,1821,188,36648
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Female,329,550,257,98,42,22,24,1322
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Non-Disadvantaged,Male,171,279,173,113,24,16,10,786
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Female,2,2,2,2,0,0,0,8
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Male,0,4,3,3,2,0,0,12
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Female,42,48,57,46,14,7,0,214
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Male,6,15,17,14,11,3,1,67
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,40,85,84,92,45,26,4,376
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,21,64,41,41,28,14,1,210
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Female,21,19,45,31,22,6,0,144
201920,Academic year,National,E92000001,England,Business studies,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Male,13,24,53,45,28,5,2,170
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,42,86,80,64,35,16,1,324
201920,Academic year,National,E92000001,England,Chemistry,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,43,89,58,40,39,10,0,279
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Unknown disadvantaged status,Female,3,4,4,4,4,2,0,21
201920,Academic year,National,E92000001,England,Computing,Information and Communication Technology (ICT),Disadvantage,Unknown disadvantaged status,Male,10,17,25,24,26,6,3,111
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Unknown disadvantaged status,Female,2,6,6,8,3,2,1,28
201920,Academic year,National,E92000001,England,Design and technology,Engineering and Manufacturing Technologies,Disadvantage,Unknown disadvantaged status,Male,1,3,13,13,2,5,0,37
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Female,3,4,16,13,5,2,0,43
201920,Academic year,National,E92000001,England,Drama,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Male,0,3,11,9,1,0,1,25
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Unknown disadvantaged status,Female,17,35,26,16,7,0,2,103
201920,Academic year,National,E92000001,England,Economics,Social Sciences,Disadvantage,Unknown disadvantaged status,Male,25,42,50,44,26,9,1,197
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Female,18,20,17,15,1,0,0,71
201920,Academic year,National,E92000001,England,French,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Male,9,16,6,7,1,0,0,39
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,28,15,9,4,3,0,0,59
201920,Academic year,National,E92000001,England,Further maths,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,50,35,20,12,7,4,1,129
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Unknown disadvantaged status,Female,6,15,17,15,12,0,1,66
201920,Academic year,National,E92000001,England,Geography,Social Sciences,Disadvantage,Unknown disadvantaged status,Male,5,12,12,23,8,0,0,60
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Female,12,13,3,1,1,2,0,32
201920,Academic year,National,E92000001,England,German,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Male,6,6,1,2,3,0,0,18
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Unknown disadvantaged status,Female,5,11,20,15,4,2,1,58
201920,Academic year,National,E92000001,England,Government and politics,Social Sciences,Disadvantage,Unknown disadvantaged status,Male,7,12,15,11,11,1,0,57
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Unknown disadvantaged status,Female,10,22,34,35,13,1,0,115
201920,Academic year,National,E92000001,England,History,"History, Philosophy and Theology",Disadvantage,Unknown disadvantaged status,Male,7,21,30,23,16,1,1,99
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Female,7,13,14,10,3,2,2,51
201920,Academic year,National,E92000001,England,Law,"Business, Administration, Finance and Law",Disadvantage,Unknown disadvantaged status,Male,1,6,5,6,2,1,0,21
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Female,3,11,30,23,7,0,0,74
201920,Academic year,National,E92000001,England,Media film TV,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Male,0,8,14,19,3,0,0,44
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Female,1,2,5,4,1,0,0,13
201920,Academic year,National,E92000001,England,Music,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Male,2,3,3,5,3,0,0,16
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Female,4,4,10,7,2,1,0,28
201920,Academic year,National,E92000001,England,Other communication studies,"Arts, Media and Publishing",Disadvantage,Unknown disadvantaged status,Male,0,4,7,8,0,0,0,19
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,0,3,2,3,2,1,0,11
201920,Academic year,National,E92000001,England,Other sciences,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,1,3,4,3,5,1,0,17
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Unknown disadvantaged status,Female,3,1,7,2,0,0,0,13
201920,Academic year,National,E92000001,England,Other social studies,Social Sciences,Disadvantage,Unknown disadvantaged status,Male,0,2,1,1,1,0,0,5
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Unknown disadvantaged status,Female,3,6,6,4,5,3,0,27
201920,Academic year,National,E92000001,England,Physical education,"Leisure, Travel and Tourism",Disadvantage,Unknown disadvantaged status,Male,1,5,9,9,9,2,0,35
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,21,28,26,37,17,4,0,133
201920,Academic year,National,E92000001,England,Physics,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,60,77,74,68,43,21,5,348
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,35,66,86,60,46,10,4,307
201920,Academic year,National,E92000001,England,Psychology,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,8,17,30,26,21,9,0,111
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Unknown disadvantaged status,Female,2,9,15,12,3,0,0,41
201920,Academic year,National,E92000001,England,Religious studies,"History, Philosophy and Theology",Disadvantage,Unknown disadvantaged status,Male,1,4,3,1,4,0,0,13
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Unknown disadvantaged status,Female,20,45,74,48,17,3,1,208
201920,Academic year,National,E92000001,England,Sociology,Social Sciences,Disadvantage,Unknown disadvantaged status,Male,7,11,22,17,7,6,0,70
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Female,44,56,19,5,3,3,0,130
201920,Academic year,National,E92000001,England,Spanish,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Male,17,23,14,5,3,0,0,63
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Female,1,7,5,1,2,0,0,16
201920,Academic year,National,E92000001,England,Total classical studies,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Male,1,3,2,4,1,0,0,11
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Unknown disadvantaged status,Female,23,55,52,70,28,3,0,231
201920,Academic year,National,E92000001,England,Total English,"Languages, literature and culture of the British isles",Disadvantage,Unknown disadvantaged status,Male,11,14,27,29,13,4,0,98
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Female,101,117,90,75,45,14,2,444
201920,Academic year,National,E92000001,England,Total maths,Science and Mathematics,Disadvantage,Unknown disadvantaged status,Male,134,153,88,89,66,34,12,576
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Female,46,42,34,7,0,1,3,133
201920,Academic year,National,E92000001,England,Total Other modern languages,"Other languages, literature and culture",Disadvantage,Unknown disadvantaged status,Male,22,40,40,6,3,1,3,115
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",First Language,English language,Female,25,66,111,89,46,25,5,367
201920,Academic year,National,E92000001,England,Account and finance,"Business, Administration, Finance and Law",First Language,English language,Male,48,164,239,287,178,66,6,988
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",First Language,English language,Female,3267,4538,5966,3319,750,156,26,18025
201920,Academic year,National,E92000001,England,Art and design,"Arts, Media and Publishing",First Language,English language,Male,793,1091,1923,1469,562,124,15,5977
201920,Academic year,National,E92000001,England,Biological sciences,Science and Mathematics,First Language,English language,Female,2912,5486,5834,5214,2718,971,59,23197
